,NormMSE,1-PCC,split,subgroup,Method
FOXF1+FOXL2,0.08907357,0.014134687613751251,4,seen2,Scouter
ETS2+PRTG,0.027054846,0.010642967419014382,4,seen2,Scouter
CEBPB+LYL1,0.22290741,0.11585595202576948,4,seen0,Scouter
CITED1+ctrl,0.2881215,0.11166886028555123,4,single,Scouter
FOSB+IKZF3,0.047557894,0.01080177921105141,4,seen2,Scouter
CEBPB+CEBPE,0.122219734,0.02355242513865763,4,seen1,Scouter
CBFA2T3+PRDM1,0.07200027,0.01780152995567641,4,seen2,Scouter
CEBPA+ZC3HAV1,0.053423345,0.007073791166972043,4,seen2,Scouter
CDKN1A+CDKN1C,0.028410219,0.005691419034973166,4,seen2,Scouter
DLX2+SNAI1,0.11038703,0.05430532239994523,4,seen2,Scouter
CEBPE+ctrl,0.18643728,0.007623140951913632,5,single,Scouter
FOXA1+FOXA3,0.045041014,0.01439480180129915,5,seen1,Scouter
MEIS1+ctrl,0.06666967,0.03499025729334859,5,single,Scouter
RREB1+ctrl,1.8428028,1.7902563476863897,5,single,Scouter
DUSP9+MAPK1,0.20017825,0.04417331767043675,5,seen2,Scouter
MIDN+ctrl,0.9763906,0.7899396716802193,5,single,Scouter
HES7+ctrl,0.6370543,0.20462894132213527,5,single,Scouter
S1PR2+ctrl,0.67075676,0.27357981932468345,5,single,Scouter
IGDCC3+MAPK1,0.063005134,0.028811765907491238,5,seen2,Scouter
CELF2+ctrl,0.8197586,0.4897119692062373,5,single,Scouter
CDKN1A+ctrl,0.07855621,0.017384395323046586,5,single,Scouter
UBASH3A+UBASH3B,0.2631022,0.02130521454496559,5,seen2,Scouter
MAP2K3+MAP2K6,0.13278143,0.047219663724958005,5,seen1,Scouter
FOSB+ctrl,0.057274345,0.03121729713338961,5,single,Scouter
BAK1+TMSB4X,0.0491867,0.018358125825013838,5,seen2,Scouter
HOXB9+ctrl,0.054853916,0.02604904790989282,5,single,Scouter
ELMSAN1+LHX1,0.055613797,0.0305034694508034,5,seen2,Scouter
CKS1B+ctrl,1.2390393,1.6837129114365168,5,single,Scouter
FOXA3+ctrl,0.04590916,0.019853621878715977,5,single,Scouter
PTPN12+UBASH3A,0.08733365,0.004966087906645988,5,seen2,Scouter
FEV+MAP7D1,0.016806414,0.008616093376418776,5,seen2,Scouter
MAP2K6+ctrl,0.3591528,0.18216244495879008,5,single,Scouter
ELMSAN1+MAP2K6,0.06790169,0.03229792601079562,5,seen1,Scouter
CEBPA+KLF1,0.05032627,0.02711918702353877,5,seen2,Scouter
CEBPE+CNN1,0.07566618,0.03408861999257984,5,seen1,Scouter
BCL2L11+ctrl,0.52079993,0.3198062559570446,5,single,Scouter
STIL+ctrl,0.50235355,0.5066519525259268,5,single,Scouter
DUSP9+IGDCC3,0.042052805,0.003622973018756026,5,seen2,Scouter
S1PR2+SGK1,0.43402207,0.20331931208342513,5,seen1,Scouter
NIT1+ctrl,0.96379673,0.6749236047382314,5,single,Scouter
CDKN1B+ctrl,0.038329132,0.014034577234349643,5,single,Scouter
CLDN6+KLF1,0.102938265,0.08660926598042995,5,seen1,Scouter
JUN+ctrl,0.16395085,0.07490157733753755,5,single,Scouter
ZBTB10+ctrl,0.034475673,0.013445011896647152,5,single,Scouter
ETS2+PRTG,0.033810757,0.00973876626674719,5,seen2,Scouter
KLF1+TGFBR2,0.010208454,0.004629146335831558,5,seen2,Scouter
ETS2+IKZF3,0.020341517,0.013826767547295615,5,seen2,Scouter
PTPN9+ctrl,0.110559635,0.04965004284299501,5,single,Scouter
RHOXF2BB+ZBTB25,0.026626911,0.00840500572889702,5,seen2,Scouter
RHOXF2BB+SET,0.054022625,0.009077769065538033,5,seen2,Scouter
HK2+ctrl,0.94429994,0.4437311873040023,5,single,Scouter
BPGM+ZBTB1,0.057998937,0.0054619120347082495,5,seen2,Scouter
CEBPB+CEBPE,0.12032251,0.023676206060596394,5,seen1,Scouter
CEBPA+ZC3HAV1,0.032852646,0.010534361591310826,5,seen2,Scouter
FOXA1+FOXF1,0.029640893,0.013347546668020849,5,seen1,Scouter
CDKN1A+CDKN1B,0.036100682,0.005939525348000574,5,seen0,Scouter
A549_ARID1A+ctrl_1+1,0.5904201865196228,0.19102073289104737,1,single,biolord
A549_BCL2L11+ctrl_1+1,1.610266089439392,1.7687894341652282,1,single,biolord
A549_BCORL1+ctrl_1+1,0.8291847109794617,0.5737568953773007,1,single,biolord
A549_C3orf72+ctrl_1+1,0.6916179060935974,0.3016439463244751,1,single,biolord
A549_CBL+ctrl_1+1,0.4090840220451355,0.19325617875438184,1,single,biolord
A549_CDKN1A+ctrl_1+1,0.3571029603481293,0.09567441372200847,1,single,biolord
A549_CDKN1B+ctrl_1+1,0.339733749628067,0.10436014458537102,1,single,biolord
A549_CDKN1C+ctrl_1+1,0.42943984270095825,0.1554794610128738,1,single,biolord
A549_CEBPB+ctrl_1+1,0.32926061749458313,0.16007816532510333,1,single,biolord
A549_CELF2+ctrl_1+1,1.1817265748977661,1.4547723207506351,1,single,biolord
A549_CKS1B+ctrl_1+1,0.7085179090499878,0.4588165525783552,1,single,biolord
A549_COL2A1+ctrl_1+1,0.6864499449729919,0.27695316879544407,1,single,biolord
A549_DUSP9+ctrl_1+1,0.27127036452293396,0.12881057622144,1,single,biolord
A549_EGR1+ctrl_1+1,0.5526730418205261,0.2536393436603248,1,single,biolord
A549_FOXL2+ctrl_1+1,0.5167677998542786,0.1255148314521648,1,single,biolord
A549_JUN+ctrl_1+1,0.8491131067276001,0.36269512691069394,1,single,biolord
A549_MEIS1+ctrl_1+1,1.8351112604141235,1.4198917872272432,1,single,biolord
A549_ctrl+CDKN1A_1+1,0.42731037735939026,0.12390545336529613,1,single,biolord
A549_ctrl+CDKN1B_1+1,0.2620708644390106,0.10721517959609628,1,single,biolord
A549_ctrl+CEBPB_1+1,0.21412253379821777,0.11587122124183225,1,single,biolord
A549_ctrl+COL2A1_1+1,0.7031142115592957,0.28512891673017293,1,single,biolord
A549_ctrl+FOXL2_1+1,0.5245922207832336,0.12854343163780868,1,single,biolord
A549_ctrl+MEIS1_1+1,1.8680527210235596,1.3911868502327707,1,single,biolord
A549_ctrl+OSR2_1+1,0.7679171562194824,0.49100219609681517,1,single,biolord
A549_ctrl+PRTG_1+1,0.44863161444664,0.0744367728184443,1,single,biolord
A549_ctrl+PTPN9_1+1,0.3969874978065491,0.22179106122348458,1,single,biolord
A549_ctrl+SPI1_1+1,0.09180398285388947,0.04563336819410324,1,single,biolord
A549_OSR2+ctrl_1+1,0.7698205709457397,0.44480757316341624,1,single,biolord
A549_PRDM1+ctrl_1+1,1.3641020059585571,1.617375259520486,1,single,biolord
A549_PRTG+ctrl_1+1,0.46202585101127625,0.07797736729844473,1,single,biolord
A549_PTPN9+ctrl_1+1,0.28962442278862,0.15215534891467541,1,single,biolord
A549_PTPN13+ctrl_1+1,0.8674828410148621,0.6636948168415984,1,single,biolord
A549_S1PR2+ctrl_1+1,0.6120692491531372,0.2509231941367034,1,single,biolord
A549_SLC4A1+ctrl_1+1,1.396102786064148,1.2210296849279985,1,single,biolord
A549_SPI1+ctrl_1+1,0.110207699239254,0.03657928644679487,1,single,biolord
A549_ZBTB10+ctrl_1+1,0.910681426525116,0.6577392177423462,1,single,biolord
A549_C3orf72+FOXL2_1+1,0.38519006967544556,0.1612350357536343,1,seen0,biolord
A549_CBL+PTPN9_1+1,0.1499571055173874,0.038221150636672974,1,seen0,biolord
A549_CDKN1B+CDKN1A_1+1,0.22083371877670288,0.10062807786744088,1,seen0,biolord
A549_CDKN1C+CDKN1A_1+1,0.24426774680614471,0.11526345554739237,1,seen0,biolord
A549_CDKN1C+CDKN1B_1+1,0.2346077561378479,0.09314419596921653,1,seen0,biolord
A549_CEBPB+OSR2_1+1,0.28414928913116455,0.1288523625698872,1,seen0,biolord
A549_DUSP9+PRTG_1+1,0.16944953799247742,0.07305189699400216,1,seen0,biolord
A549_FOXL2+MEIS1_1+1,0.6512703895568848,0.3604332134127617,1,seen0,biolord
A549_JUN+CEBPB_1+1,0.5986358523368835,0.03252472233725712,1,seen0,biolord
A549_BCL2L11+BAK1_1+1,0.5750381350517273,0.3768802164122462,1,seen1,biolord
A549_BCL2L11+TGFBR2_1+1,0.3000396490097046,0.06995314147206955,1,seen1,biolord
A549_CBL+CNN1_1+1,0.16152304410934448,0.039825987587391865,1,seen1,biolord
A549_CBL+PTPN12_1+1,0.08671029657125473,0.023814955027773976,1,seen1,biolord
A549_CBL+TGFBR2_1+1,0.24724680185317993,0.0829158048145473,1,seen1,biolord
A549_CBL+UBASH3A_1+1,0.3712252378463745,0.08387536485679448,1,seen1,biolord
A549_CBL+UBASH3B_1+1,0.2565714418888092,0.03336868483165745,1,seen1,biolord
A549_CEBPB+CEBPA_1+1,0.897642970085144,0.001527709187939763,1,seen1,biolord
A549_CEBPB+MAPK1_1+1,0.5467663407325745,0.011419528163969517,1,seen1,biolord
A549_CEBPB+PTPN12_1+1,0.5651716589927673,0.10529800032963976,1,seen1,biolord
A549_CEBPE+CEBPB_1+1,0.3937245309352875,0.01566395186819136,1,seen1,biolord
A549_CEBPE+SPI1_1+1,0.03938109800219536,0.007497092243283987,1,seen1,biolord
A549_DUSP9+ETS2_1+1,0.48541542887687683,0.2412620096874889,1,seen1,biolord
A549_DUSP9+IGDCC3_1+1,0.10129252076148987,0.048568382364464924,1,seen1,biolord
A549_DUSP9+KLF1_1+1,0.2910260260105133,0.0997484563413309,1,seen1,biolord
A549_DUSP9+MAPK1_1+1,0.2522759437561035,0.0987515365704894,1,seen1,biolord
A549_DUSP9+SNAI1_1+1,0.19071274995803833,0.07399553549475968,1,seen1,biolord
A549_ETS2+PRTG_1+1,0.6851032376289368,0.4283795105293393,1,seen1,biolord
A549_FOSB+CEBPB_1+1,0.06523334234952927,0.01766982558183372,1,seen1,biolord
A549_FOSB+OSR2_1+1,0.2782056927680969,0.11898778739850968,1,seen1,biolord
A549_FOXA1+FOXL2_1+1,0.2135031670331955,0.03702513896860182,1,seen1,biolord
A549_FOXA3+FOXL2_1+1,0.25967875123023987,0.05165026310351095,1,seen1,biolord
A549_FOXF1+FOXL2_1+1,0.31047219038009644,0.0444289293300244,1,seen1,biolord
A549_FOXL2+HOXB9_1+1,0.15400266647338867,0.03858432930428535,1,seen1,biolord
A549_IGDCC3+PRTG_1+1,0.0524204857647419,0.02633738494478166,1,seen1,biolord
A549_JUN+CEBPA_1+1,0.4369920790195465,0.004580905195325613,1,seen1,biolord
A549_KLF1+COL2A1_1+1,0.9563660621643066,0.9261328084394336,1,seen1,biolord
A549_LYL1+CEBPB_1+1,0.5800722241401672,0.22142820234876126,1,seen1,biolord
A549_MAP2K6+SPI1_1+1,0.6557414531707764,0.21115724137052894,1,seen1,biolord
A549_MAPK1+PRTG_1+1,0.5600935816764832,0.34585398458875716,1,seen1,biolord
A549_POU3F2+FOXL2_1+1,0.15922503173351288,0.012195389601401985,1,seen1,biolord
A549_PRDM1+CBFA2T3_1+1,1.184221625328064,1.006513224565424,1,seen1,biolord
A549_PTPN12+OSR2_1+1,0.8015643358230591,0.5284449305618182,1,seen1,biolord
A549_PTPN12+PTPN9_1+1,0.042554646730422974,0.02174969553016126,1,seen1,biolord
A549_SGK1+S1PR2_1+1,0.4413992464542389,0.20437401719391346,1,seen1,biolord
A549_TGFBR2+PRTG_1+1,0.23193120956420898,0.057628789683803916,1,seen1,biolord
A549_UBASH3B+OSR2_1+1,1.289116382598877,1.1030021530859813,1,seen1,biolord
A549_UBASH3B+PTPN9_1+1,0.14598694443702698,0.047720670874696225,1,seen1,biolord
A549_ZBTB10+DLX2_1+1,0.6222490668296814,0.21853891161299543,1,seen1,biolord
A549_ZBTB10+ELMSAN1_1+1,0.6377737522125244,0.26862338397768326,1,seen1,biolord
A549_ZBTB10+PTPN12_1+1,0.5731198787689209,0.2924809964988526,1,seen1,biolord
A549_ZBTB10+SNAI1_1+1,0.3280944228172302,0.06738059208146296,1,seen1,biolord
A549_ZNF318+FOXL2_1+1,0.26400962471961975,0.09546079798019491,1,seen1,biolord
