,NormMSE,1-PCC,split,Method
CLNS1A+ctrl,1.0996188,0.8705841249324661,1,Scouter
VPS72+ctrl,1.1132162,1.0218272255965783,1,Scouter
MTPAP+ctrl,1.1617005,1.6752086273915698,1,Scouter
MRPL13+ctrl,0.09589128,0.09694918751962323,1,Scouter
EPRS+ctrl,0.111152485,0.05166630999677957,1,Scouter
MRPS18A+ctrl,0.6322156,0.49660822987496456,1,Scouter
NFS1+ctrl,0.66230834,0.43246628903894346,1,Scouter
NCKAP1+ctrl,0.9102903,0.7081227897098773,1,Scouter
DMAP1+ctrl,1.1224426,1.086311372168356,1,Scouter
UPF1+ctrl,0.69020146,0.3364637986849448,1,Scouter
RRN3+ctrl,0.6523597,0.16924201687742535,1,Scouter
URI1+ctrl,0.46624875,0.2998614764571572,1,Scouter
CTNNBL1+ctrl,0.85718054,0.6263404818720057,1,Scouter
DDX20+ctrl,1.2129809,1.2095766552769027,1,Scouter
VPS35+ctrl,0.33154655,0.06750445644484482,1,Scouter
AARS+ctrl,0.27448836,0.05524675687896197,1,Scouter
SARS+ctrl,0.35142753,0.05975290195549343,1,Scouter
THAP11+ctrl,1.2081941,1.5448930408233357,1,Scouter
RPS2+ctrl,0.16904171,0.022735640635486054,1,Scouter
LIN54+ctrl,2.2473388,1.00330045360194,2,Scouter
MRPS14+ctrl,0.79740614,0.5682739087260626,2,Scouter
TRA2B+ctrl,1.0241696,0.9811361960289329,2,Scouter
CDAN1+ctrl,1.4218442,1.122645978952149,2,Scouter
EIF4E+ctrl,0.7047342,0.2827012478681965,2,Scouter
PRPF40A+ctrl,0.79548097,0.5578928238897813,2,Scouter
RPS27+ctrl,0.06624068,0.1499178561358463,2,Scouter
SUPT6H+ctrl,0.78137183,0.2448850640868292,2,Scouter
C1QBP+ctrl,0.8853496,0.6955818888365342,2,Scouter
ZMAT2+ctrl,0.38105187,0.2235208495145793,2,Scouter
RSL24D1+ctrl,0.056006994,0.021828117195922037,2,Scouter
PMPCB+ctrl,0.7056675,0.26827932482673233,2,Scouter
SUGP1+ctrl,0.93390554,0.7459156249834339,2,Scouter
BTF3+ctrl,0.9081073,0.7392286267607401,2,Scouter
LAMTOR4+ctrl,1.1394596,0.946300510488338,2,Scouter
BUB3+ctrl,0.6962108,0.38973215659424354,2,Scouter
SAMM50+ctrl,0.6443755,0.5297935011451456,2,Scouter
TSR2+ctrl,0.9105092,0.617983026386929,2,Scouter
SDE2+ctrl,0.8344741,0.5494664809237808,2,Scouter
NAA15+ctrl,0.5724884,0.34599651857088276,2,Scouter
KANSL3+ctrl,0.10008375,0.013221033819676764,2,Scouter
ANAPC4+ctrl,0.788455,0.349046660439034,2,Scouter
ZBTB17+ctrl,1.1774014,1.1990965925855928,2,Scouter
RPS29+ctrl,0.020646855,0.014554618642721562,2,Scouter
XPO1+ctrl,1.2705852,1.5499623710682984,2,Scouter
TOMM22+ctrl,0.230536,0.055813125219673965,2,Scouter
PSMD7+ctrl,0.2266909,0.03045901191173339,2,Scouter
UTP15+ctrl,0.44746846,0.14709169293609559,2,Scouter
GUCD1+ctrl,1.9649047,1.8699890705028728,2,Scouter
RPL17+ctrl,0.13129988,0.008580526531162369,2,Scouter
RTCB+ctrl,4.540654,1.750288130048333,2,Scouter
RPS11+ctrl,0.09406887,0.016898087047578003,2,Scouter
MED7+ctrl,0.3104016,0.029625929273106033,2,Scouter
CDK1+ctrl,0.76687586,0.45427966804204845,2,Scouter
INTS9+ctrl,0.48201552,0.14060379169944004,2,Scouter
U2AF1+ctrl,0.32135227,0.11895853171161297,2,Scouter
TXN+ctrl,0.53342193,0.30204192697156784,2,Scouter
PPP2R1A+ctrl,2.4541626,0.9856644827301679,2,Scouter
MRPL10+ctrl,0.16449305,0.04385988090642001,2,Scouter
CDC27+ctrl,0.2256583,0.46495480343182194,2,Scouter
SMN2+ctrl,0.81856656,0.3463930905065238,2,Scouter
NKAP+ctrl,0.6380427,0.2281089326752297,2,Scouter
SDAD1+ctrl,1.1861324,0.9395840638122577,2,Scouter
RPL7+ctrl,0.06349239,0.01562973903496523,2,Scouter
ABCE1+ctrl,1.047124,0.8835042627117514,2,Scouter
CHMP6+ctrl,0.26569608,0.24203090579730557,2,Scouter
PPP1R8+ctrl,1.7866187,1.8869997722830982,2,Scouter
MPHOSPH10+ctrl,0.97517437,0.4113416805540102,2,Scouter
ALDOA+ctrl,0.8654192,0.5237537563367074,2,Scouter
DIS3+ctrl,0.576587,0.2363751063243157,2,Scouter
HARS+ctrl,0.3340234,0.04643069743072681,2,Scouter
COPB2+ctrl,0.8368685,0.47418377869817485,2,Scouter
MYBL2+ctrl,1.0437803,0.7351042670973538,2,Scouter
CCT6A+ctrl,0.06465062,0.030867464029585956,2,Scouter
TARS+ctrl,0.5648897,0.37146196323557923,2,Scouter
SETD1A+ctrl,1.776107,1.8473511801937665,2,Scouter
