,NormMSE,1-PCC,split,Method
POGLUT3+ctrl,1.7713573,0.9002219852610229,2,Scouter
RGPD6+ctrl,1.011262,1.063579635925353,2,Scouter
CDC16+ctrl,0.057288866,0.014888919862424022,2,Scouter
SMC4+ctrl,0.029833617,0.010862028759385578,2,Scouter
TBCE+ctrl,0.3070979,0.05347727301026284,2,Scouter
HAUS8+ctrl,0.033828206,0.010345068706103633,2,Scouter
NUP98+ctrl,0.034495253,0.011016701252009375,2,Scouter
CHCHD4+ctrl,2.1535661,1.7758703061655279,2,Scouter
SDHAF2+ctrl,0.50473505,0.5388404715596533,2,Scouter
NUDT15+ctrl,0.6432625,0.4176493616929273,2,Scouter
ZNF207+ctrl,0.2178257,0.10544907737225362,2,Scouter
RNPC3+ctrl,0.049522158,0.021963714068382822,2,Scouter
GARS+ctrl,0.460438,0.09248605234676677,2,Scouter
SMG1+ctrl,0.23375703,0.053616543592527766,2,Scouter
ZFC3H1+ctrl,0.73045605,0.2399595650687384,2,Scouter
RTTN+ctrl,0.022065878,0.020994534639073192,2,Scouter
COPS2+ctrl,0.029974427,0.017055682641378356,2,Scouter
OTX1+ctrl,1.2060304,1.144075640753807,2,Scouter
INTS14+ctrl,0.45244417,0.11334692016436909,2,Scouter
USP10+ctrl,0.8304568,0.397712355896237,2,Scouter
EPB41L2+ctrl,0.8002445,0.5177489307055354,2,Scouter
DDOST+ctrl,0.46287528,0.09840128901507961,2,Scouter
FYN+ctrl,0.9366588,0.655659427414552,2,Scouter
PAXBP1+ctrl,0.045307834,0.018483565581240646,2,Scouter
PMF1+ctrl,0.34383863,0.07199263004513601,2,Scouter
EEF2+ctrl,0.22837508,0.07568611502873279,2,Scouter
DPY19L4+ctrl,0.8007971,0.5000012395189184,2,Scouter
FOXS1+ctrl,1.6495128,1.2049055748976998,2,Scouter
RBMX+ctrl,0.69304776,0.2106381209107292,2,Scouter
GINS4+ctrl,0.016074782,0.008428920066433254,2,Scouter
RPL21+ctrl,0.034524627,0.005748416990760008,2,Scouter
PIAS4+ctrl,0.19709662,0.05463857406118677,2,Scouter
TTC1+ctrl,0.97604,0.6868947491796589,2,Scouter
ANKRD49+ctrl,1.1280966,0.6094593099514383,2,Scouter
EIF1+ctrl,0.97052187,0.713769893645497,2,Scouter
NCAPD2+ctrl,0.39826235,0.03689558035032958,2,Scouter
SNUPN+ctrl,0.41992185,0.12438463230300922,2,Scouter
CABIN1+ctrl,1.4160422,1.0698299795147819,2,Scouter
PRMT5+ctrl,0.3411327,0.1863762084390006,2,Scouter
DHX8+ctrl,0.5812167,0.21298512158264782,2,Scouter
SETX+ctrl,0.98547155,1.034648879101679,2,Scouter
RNASEH2C+ctrl,0.8141152,0.553413776533906,2,Scouter
FNBP4+ctrl,0.27386257,0.09332690704775459,2,Scouter
MARS+ctrl,0.568044,0.03987882568331358,2,Scouter
NDUFAB1+ctrl,0.2633293,0.02389095469521585,2,Scouter
UBA1+ctrl,0.92835015,0.749778752926435,2,Scouter
ZW10+ctrl,0.90836775,0.6463120013188821,2,Scouter
CCT4+ctrl,0.0377596,0.010823024071677012,2,Scouter
SF3B4+ctrl,0.02496238,0.007677584957231254,2,Scouter
ISCA2+ctrl,1.1830406,1.3063200062785636,2,Scouter
TBP+ctrl,0.52534354,0.20393901742395115,2,Scouter
GBF1+ctrl,0.5433502,0.17569059063926595,2,Scouter
ACSS2+ctrl,1.1094224,1.0451524475065277,2,Scouter
MPHOSPH6+ctrl,0.01673342,0.00190002866544281,2,Scouter
NSMCE2+ctrl,0.21126513,0.018419048863827947,2,Scouter
POLR2E+ctrl,0.16547298,0.01578669095477836,2,Scouter
PRMT1+ctrl,0.7523136,0.42095977125414596,2,Scouter
DPH3+ctrl,0.8167439,0.5535857675287588,2,Scouter
ZWINT+ctrl,0.45952058,0.31746319067368867,2,Scouter
GEMIN5+ctrl,0.09185258,0.007402392726231222,2,Scouter
RPL35+ctrl,0.029913496,0.0045378024202124,2,Scouter
RPS9+ctrl,0.018965052,0.005014836844044357,2,Scouter
